week_end,cases
2025-01-11,1
2025-01-18,1
2025-01-25,11
2025-02-01,19
2025-02-08,27
2025-02-15,65
2025-02-22,85
2025-03-01,75
2025-03-08,90
2025-03-15,84
2025-03-22,103
2025-03-29,91
2025-04-05,115
2025-04-12,74
2025-04-19,86
2025-04-26,48
2025-05-03,49
2025-05-10,35
2025-05-17,25
2025-05-24,55
2025-05-31,41
2025-06-07,25
2025-06-14,21
2025-06-21,29
2025-06-28,35
2025-07-05,18
2025-07-12,15
2025-07-19,13
2025-07-26,17
2025-08-02,13
2025-08-09,11
2025-08-16,21
2025-08-23,38
2025-08-30,36
2025-09-06,22
2025-09-13,28
2025-09-20,22
2025-09-27,17
2025-10-04,22
2025-10-11,21
2025-10-18,27
2025-10-25,35
2025-11-01,31
2025-11-08,41
2025-11-15,29
2025-11-22,53
2025-11-29,48
2025-12-06,67
2025-12-13,55
2025-12-20,59
2025-12-27,56
2026-01-03,182
2026-01-10,210
2026-01-17,296
2026-01-24,171
2026-01-31,170
2026-02-07,89
2026-02-14,127
2026-02-21,100
2026-02-28,127
2026-03-07,114
2026-03-14,94
2026-03-21,92
2026-03-28,112
2026-04-04,41
2026-04-11,34
2026-04-18,42
2026-04-25,37
2026-05-02,38
2026-05-09,37
2026-05-16,49
2026-05-23,29
2026-05-30,49
2026-06-06,56
2026-06-13,33
2026-06-20,28
2026-06-27,24
2026-07-04,29
2026-07-11,32
2026-07-18,68
2026-07-25,43
2026-08-01,113
2026-08-08,99
2026-08-15,157
2026-08-22,98
2026-08-29,65
